Designator,Description,Manufacturer Part Number,Per 1,Per 40,
,,,,,
A1,LORA 32U4 II 868MHZ,Lora32U4 II ver 1.2,1,40,
DD1,IC I2C SW 8CH W/RESET 24TSSOP,TCA9548APWR,1,40,lcsc
"R1, R2, R3, R6",RES SMD 10K OHM 1% 1/4W 1206,ERJ8ENF1002V,4,160,lcsc
"R4, R5",RES SMD 200 OHM 1% 1/4W 1206,CRCW1206200RFKEA,2,80,lcsc
SB1,SWITCH TACTILE SPST-NO 0.05A 24V,1825910-6,1,40,lcsc
"VD1, VD2",LED GREEN DIFFUSED T-1 3/4 T/H,SSL-LX5093GD-TR26,2,80,lcsc/home
"X1, X2, X3, X4, X10",TERM BLK 4POS TOP ENTRY 5MM PCB,397000904,5,200,lcsc
"X5, X9",CONN RCPT 16POS 0.1 GOLD PCB,1-534237-4,2,80,lcsc
"X6, X8",CONN RCPT 12POS 0.1 GOLD PCB,1-534237-0,2,80,lcsc
X7,TERM BLOCK HDR 2POS VERT 5MM,1753437,1,40,lcsc
